"Page path level 3";"Page Title";"Pageviews";"Unique Pageviews";"Avg. Time on Page";"Bounce Rate";"% Exit"
"/sik-experiment-guide-for-arduino---v32/";"SIK Experiment Guide for Arduino - V3.2 - learn.sparkfun.com";"408,303";"314,525";"00:04:10";"70.34%";"50.11%"
"/esp8266-thing-hookup-guide/";"ESP8266 Thing Hookup Guide - learn.sparkfun.com";"277,878";"229,015";"00:02:57";"71.89%";"48.00%"
"/how-to-install-ftdi-drivers/";"How to Install FTDI Drivers - learn.sparkfun.com";"275,534";"222,105";"00:03:05";"71.11%";"48.19%"
"/terminal-basics/";"Serial Terminal Basics - learn.sparkfun.com";"266,896";"224,943";"00:02:47";"76.06%";"58.58%"
"/how-to-use-a-multimeter/";"How to Use a Multimeter - learn.sparkfun.com";"198,907";"177,067";"00:04:26";"84.19%";"77.36%"
"/switch-basics/";"Switch Basics - learn.sparkfun.com";"158,435";"138,569";"00:03:37";"82.03%";"70.48%"
"/raspberry-gpio/";"Raspberry gPIo - learn.sparkfun.com";"154,857";"134,620";"00:03:23";"72.46%";"53.55%"
"/transistors/";"Transistors - learn.sparkfun.com";"132,276";"114,261";"00:04:49";"82.13%";"71.55%"
"/polarity/";"Polarity - learn.sparkfun.com";"127,957";"114,754";"00:03:53";"83.87%";"77.15%"
"/disabling-driver-signature-on-windows-8/";"Disabling Driver Signature on Windows 8 - learn.sparkfun.com";"116,605";"99,454";"00:05:18";"85.77%";"80.32%"
"/connector-basics/";"Connector Basics - learn.sparkfun.com";"101,675";"88,225";"00:02:30";"73.57%";"62.50%"
"/working-with-wire/";"Working with Wire - learn.sparkfun.com";"99,700";"86,498";"00:01:53";"83.44%";"73.76%"
"/using-eagle-board-layout/";"Using EAGLE: Board Layout - learn.sparkfun.com";"92,174";"81,192";"00:04:18";"74.59%";"63.19%"
"/diodes/";"Diodes - learn.sparkfun.com";"91,927";"81,809";"00:03:41";"82.43%";"73.69%"
"/serial-communication/";"Serial Communication - learn.sparkfun.com";"76,626";"67,989";"00:03:29";"79.13%";"65.86%"
"/using-the-bluesmirf/";"Using the BlueSMiRF - learn.sparkfun.com";"68,606";"49,850";"00:03:05";"55.73%";"28.60%"
"/resistors/";"Resistors - learn.sparkfun.com";"67,248";"57,747";"00:03:34";"79.39%";"66.97%"
"/tiny-avr-programmer-hookup-guide/";"Tiny AVR Programmer Hookup Guide - learn.sparkfun.com";"64,287";"53,552";"00:03:29";"73.72%";"62.76%"
"/what-is-electricity/";"What is Electricity? - learn.sparkfun.com";"59,845";"51,084";"00:04:45";"81.84%";"74.43%"
"/capacitors/";"Capacitors - learn.sparkfun.com";"55,403";"49,110";"00:06:20";"81.12%";"73.72%"
"/logic-levels/";"Logic Levels - learn.sparkfun.com";"55,279";"49,357";"00:03:01";"80.31%";"71.43%"
"/how-to-use-a-breadboard/";"How to Use a Breadboard - learn.sparkfun.com";"53,799";"48,987";"00:03:19";"76.51%";"70.18%"
"/bluetooth-basics/";"Bluetooth Basics - learn.sparkfun.com";"53,182";"46,519";"00:03:29";"78.62%";"61.02%"
"/analog-vs-digital/";"Analog vs. Digital - learn.sparkfun.com";"51,701";"43,681";"00:02:50";"73.96%";"67.06%"
"/pushing-data-to-datasparkfuncom/";"Pushing Data to Data.SparkFun.com - learn.sparkfun.com";"51,701";"43,434";"00:03:17";"70.74%";"57.52%"
"/pro-micro--fio-v3-hookup-guide/";"Pro Micro & Fio v3 Hookup Guide - learn.sparkfun.com";"51,454";"42,447";"00:03:07";"66.48%";"49.16%"
"/esp8266-thing-development-board-hookup-guide/";"ESP8266 Thing Development Board Hookup Guide - learn.sparkfun.com";"49,974";"36,401";"00:02:18";"56.26%";"25.19%"
"/assembly-guide-for-redbot-with-shadow-chassis/";"Assembly Guide for RedBot with Shadow Chassis - learn.sparkfun.com";"49,850";"31,465";"00:03:09";"30.44%";"12.38%"
"/galileo-getting-started-guide/";"Galileo Getting Started Guide - learn.sparkfun.com";"48,740";"37,141";"00:03:15";"50.00%";"35.19%"
"/what-is-a-circuit/";"What is a Circuit? - learn.sparkfun.com";"48,740";"43,804";"00:05:08";"82.47%";"75.70%"
"/voltage-current-resistance-and-ohms-law/";"Voltage, Current, Resistance, and Ohm's Law - learn.sparkfun.com";"47,506";"42,447";"00:02:46";"71.84%";"54.54%"
"/alternating-current-ac-vs-direct-current-dc/";"Alternating Current (AC) vs. Direct Current (DC) - learn.sparkfun.com";"45,285";"38,128";"00:03:32";"79.34%";"68.67%"
"/ws2812-breakout-hookup-guide/";"WS2812 Breakout Hookup Guide - learn.sparkfun.com";"44,298";"35,043";"00:01:35";"69.49%";"29.53%"
"/series-and-parallel-circuits/";"Series and Parallel Circuits - learn.sparkfun.com";"43,310";"38,005";"00:01:26";"82.74%";"65.53%"
"/using-eagle-schematic/";"Using EAGLE: Schematic - learn.sparkfun.com";"43,187";"36,524";"00:04:19";"54.55%";"46.57%"
"/voltage-dividers/";"Voltage Dividers - learn.sparkfun.com";"41,706";"37,388";"00:00:59";"34.87%";"40.24%"
"/integrated-circuits/";"Integrated Circuits - learn.sparkfun.com";"39,609";"31,341";"00:02:53";"73.50%";"63.86%"
"/how-to-use-an-oscilloscope/";"How to Use an Oscilloscope - learn.sparkfun.com";"38,992";"35,290";"00:03:54";"82.94%";"62.66%"
"/alternative-arduino-interfaces/";"Alternative Arduino Interfaces - learn.sparkfun.com";"35,660";"23,444";"00:03:08";"59.40%";"50.52%"
"/logicblocks-experiment-guide/";"LogicBlocks Experiment Guide - learn.sparkfun.com";"34,180";"29,861";"00:02:32";"85.78%";"77.98%"
"/pocket-avr-programmer-hookup-guide/";"Pocket AVR Programmer Hookup Guide - learn.sparkfun.com";"32,699";"25,789";"00:04:02";"61.72%";"51.70%"
"/bmp180-barometric-pressure-sensor-hookup-/";"BMP180 Barometric Pressure Sensor Hookup - learn.sparkfun.com";"32,205";"26,899";"00:03:08";"64.23%";"54.41%"
"/galileo-experiment-guide/";"Galileo Experiment Guide - learn.sparkfun.com";"32,082";"23,815";"00:05:13";"59.68%";"48.85%"
"/gyroscope/";"Gyroscope - learn.sparkfun.com";"31,712";"24,555";"00:02:35";"67.14%";"51.75%"
"/analog-to-digital-conversion/";"Analog to Digital Conversion - learn.sparkfun.com";"30,971";"27,640";"00:03:04";"73.99%";"66.14%"
"/photon-development-guide/";"Photon Development Guide - learn.sparkfun.com";"30,971";"25,912";"00:01:46";"62.86%";"25.50%"
"/connecting-arduino-to-processing/";"Connecting Arduino to Processing - learn.sparkfun.com";"30,601";"24,061";"00:03:43";"60.95%";"43.95%"
"/how-to-read-a-schematic/";"How to Read a Schematic - learn.sparkfun.com";"29,367";"25,912";"00:01:25";"85.63%";"71.43%"
"/pull-up-resistors/";"Pull-up Resistors - learn.sparkfun.com";"29,120";"26,159";"00:04:57";"82.20%";"76.27%"
"/tags/";"Arduino | Tutorials - learn.sparkfun.com";"29,120";"24,185";"00:00:37";"65.45%";"27.97%"
"/installing-an-arduino-bootloader/";"Installing an Arduino Bootloader - learn.sparkfun.com";"28,997";"21,840";"00:03:17";"63.39%";"45.53%"
"/xbee-shield-hookup-guide/";"XBee Shield Hookup Guide - learn.sparkfun.com";"28,997";"24,555";"00:04:37";"57.50%";"49.36%"
"/pro-micro--fio-v3-hookup-guide/";"Pro Micro & Fio V3 Hookup Guide - learn.sparkfun.com";"28,503";"23,568";"00:03:11";"71.82%";"53.25%"
"/programming-the-pcduino/";"Programming the pcDuino - learn.sparkfun.com";"28,503";"25,665";"00:03:47";"77.91%";"70.13%"
"/sparkfun-inventors-kit-for-photon-experiment-guide/";"SparkFun Inventor's Kit for Photon Experiment Guide - learn.sparkfun.com";"27,393";"23,321";"00:02:24";"62.26%";"31.08%"
"/arduino-shields/";"Arduino Shields - learn.sparkfun.com";"25,542";"20,236";"00:01:37";"65.22%";"35.75%"
"/gps-basics/";"GPS Basics - learn.sparkfun.com";"24,432";"20,730";"00:02:31";"63.36%";"50.00%"
"/obd-ii-uart-hookup-guide/";"OBD II Uart Hookup Guide - learn.sparkfun.com";"24,432";"17,522";"00:03:43";"69.81%";"52.53%"
"/tags/";"Edison | Tutorials - learn.sparkfun.com";"24,308";"19,372";"00:01:30";"31.57%";"17.26%"
"/using-the-serial-7-segment-display/";"Using the Serial 7-Segment Display - learn.sparkfun.com";"22,951";"18,262";"00:01:31";"71.74%";"28.50%"
"/mbed-starter-kit-experiment-guide/";"mbed Starter Kit Experiment Guide - learn.sparkfun.com";"22,457";"17,768";"00:04:32";"63.89%";"41.21%"
"/serial-peripheral-interface-spi/";"Serial Peripheral Interface (SPI) - learn.sparkfun.com";"21,964";"18,756";"00:03:12";"74.17%";"64.05%"
"/tags/";"Concepts | Tutorials - learn.sparkfun.com";"21,347";"15,301";"00:00:49";"19.94%";"8.67%"
"/how-to-solder---through-hole-soldering/";"How to Solder - Through-hole Soldering - learn.sparkfun.com";"20,853";"17,028";"00:03:14";"73.34%";"52.07%"
"/exploring-xbees-and-xctu/";"Exploring XBees and XCTU - learn.sparkfun.com";"20,360";"16,041";"00:05:55";"59.73%";"50.91%"
"/installing-arduino-ide/";"Installing Arduino IDE - learn.sparkfun.com";"19,743";"16,041";"00:05:05";"69.23%";"70.00%"
"/h2ohno/";"H2OhNo! - learn.sparkfun.com";"19,372";"17,892";"00:03:48";"38.74%";"50.95%"
"/tags/";"Start a Project | Tutorials - learn.sparkfun.com";"19,126";"15,794";"00:01:31";"0.00%";"11.61%"
"/redbot-assembly-guide-rev-02/";"RedBot Assembly Guide Rev 02 - learn.sparkfun.com";"18,015";"13,326";"00:02:04";"45.47%";"12.33%"
"/digital-sandbox-experiment-guide/";"Digital Sandbox Experiment Guide - learn.sparkfun.com";"17,398";"14,560";"00:02:27";"57.90%";"34.75%"
"/stepoko-powered-by-grbl-hookup-guide/";"Stepoko: Powered by grbl Hookup Guide - learn.sparkfun.com";"17,275";"13,573";"00:00:52";"69.26%";"10.71%"
"/how-to-install-and-setup-eagle/";"How to Install and Setup EAGLE - learn.sparkfun.com";"16,534";"12,709";"00:02:48";"58.61%";"50.00%"
"/i2c/";"I2C - learn.sparkfun.com";"16,288";"14,190";"00:03:25";"70.59%";"52.27%"
"/pulse-width-modulation/";"Pulse-width Modulation - learn.sparkfun.com";"14,313";"13,080";"00:01:30";"86.02%";"81.04%"
"/samd21-minidev-breakout-hookup-guide/";"SAMD21 Mini/Dev Breakout Hookup Guide - learn.sparkfun.com";"13,696";"11,722";"00:02:39";"56.28%";"28.83%"
"/using-pcduinos-wifi-dongle-with-the-pi/";"Using pcDuino's WiFi Dongle With the Pi - learn.sparkfun.com";"13,696";"12,216";"00:04:11";"87.10%";"83.78%"
"/sparkfun-inventors-kit-for-microview/";"SparkFun Inventor's Kit for MicroView - learn.sparkfun.com";"13,326";"10,612";"00:01:22";"75.02%";"21.30%"
"/designing-pcbs-advanced-smd/";"Designing PCBs: Advanced SMD - learn.sparkfun.com";"13,203";"10,612";"00:02:33";"59.62%";"43.92%"
"/digital-sandbox-arduino-companion/";"Digital Sandbox Arduino Companion - learn.sparkfun.com";"13,203";"9,748";"00:02:32";"82.14%";"31.77%"
"/sparkfun-inventors-kit-for-redbot/";"SparkFun Inventor's Kit for RedBot - learn.sparkfun.com";"13,203";"10,982";"00:02:33";"75.00%";"47.66%"
"/pcb-basics/";"PCB Basics - learn.sparkfun.com";"12,956";"11,352";"00:01:23";"76.05%";"68.57%"
"/ir-communication/";"IR Communication - learn.sparkfun.com";"12,709";"10,858";"00:03:15";"70.15%";"57.28%"
"/tags/";"Raspberry Pi | Tutorials - learn.sparkfun.com";"11,352";"8,761";"00:01:09";"62.50%";"38.05%"
"/using-the-arduino-pro-mini-33v/";"Using the Arduino Pro Mini 3.3V - learn.sparkfun.com";"11,352";"9,254";"00:04:11";"59.18%";"43.48%"
"/what-is-an-arduino/";"What is an Arduino? - learn.sparkfun.com";"11,352";"10,242";"00:04:06";"80.36%";"57.61%"
"/electric-imp-breakout-hookup-guide/";"Electric Imp Breakout Hookup Guide - learn.sparkfun.com";"10,612";"8,637";"00:01:44";"65.22%";"32.56%"
"/tags/";"Electrical Engineering | Tutorials - learn.sparkfun.com";"10,612";"8,637";"00:00:43";"55.00%";"38.37%"
"/xbee-wifi-hookup-guide/";"XBee WiFi Hookup Guide - learn.sparkfun.com";"9,995";"7,650";"00:05:16";"41.93%";"35.80%"
"/photon-weather-shield-hookup-guide/";"Photon Weather Shield Hookup Guide - learn.sparkfun.com";"9,625";"8,144";"00:02:32";"61.91%";"33.33%"
"/experiment-guide-for-redbot-with-shadow-chassis/";"Experiment Guide for RedBot with Shadow Chassis - learn.sparkfun.com";"9,378";"7,774";"00:02:37";"55.54%";"28.95%"
"/tags/";"Eagle | Tutorials - learn.sparkfun.com";"9,131";"5,923";"00:01:06";"9.53%";"9.46%"
"/connecting-arduino-to-processing/";"Discuss Tutorial: Connecting Arduino to Processing - learn.sparkfun.com";"9,008";"8,637";"00:08:06";"86.66%";"82.19%"
"/mpr121-hookup-guide/";"MPR121 Hookup Guide - learn.sparkfun.com";"9,008";"6,910";"00:01:21";"9.97%";"19.17%"
"/lsm9ds0-hookup-guide/";"LSM9DS0 Hookup Guide - learn.sparkfun.com";"8,637";"7,404";"00:03:00";"66.67%";"51.43%"
"/midi-tutorial/";"MIDI Tutorial - learn.sparkfun.com";"8,514";"8,144";"00:01:53";"83.32%";"30.43%"
"/binary/";"Binary - learn.sparkfun.com";"7,897";"7,033";"00:03:33";"85.44%";"85.94%"
"/redboard-hookup-guide/";"RedBoard Hookup Guide - learn.sparkfun.com";"7,650";"5,923";"00:00:47";"18.74%";"17.74%"
"/graphic-lcd-hookup-guide/";"Graphic LCD Hookup Guide - learn.sparkfun.com";"7,527";"5,799";"00:04:56";"74.20%";"57.38%"
"/mma8452q-accelerometer-breakout-hookup-guide/";"MMA8452Q Accelerometer Breakout Hookup Guide - learn.sparkfun.com";"7,280";"5,306";"00:02:08";"44.46%";"23.72%"
"/cc3000-hookup-guide/";"CC3000 Hookup Guide - learn.sparkfun.com";"7,157";"4,689";"00:02:52";"59.08%";"31.03%"
"/simblee-concepts/";"Simblee Concepts - learn.sparkfun.com";"7,157";"6,046";"00:02:19";"74.90%";"17.24%"
"/esp8266-thing-hookup-guide/";"Discuss Tutorial: ESP8266 Thing Hookup Guide - learn.sparkfun.com";"7,033";"5,799";"00:06:08";"61.12%";"63.16%"
"/esp8266-wifi-shield-hookup-guide/";"ESP8266 WiFi Shield Hookup Guide - learn.sparkfun.com";"7,033";"6,787";"00:04:09";"74.36%";"64.91%"
"/ir-control-kit-hookup-guide/";"IR Control Kit Hookup Guide - learn.sparkfun.com";"7,033";"5,553";"00:01:34";"66.68%";"38.60%"
"/led-cloud-connected-cloud/";"LED Cloud-Connected Cloud - learn.sparkfun.com";"7,033";"5,676";"00:03:26";"81.48%";"54.39%"
"/setting-up-raspbian-and-doom/";"Setting up Raspbian (and DOOM!) - learn.sparkfun.com";"6,910";"5,923";"00:07:18";"84.78%";"80.36%"
"/tags/";"Projects | Tutorials - learn.sparkfun.com";"6,416";"6,170";"00:01:24";"100.00%";"21.15%"
"/electronics-assembly/";"Electronics Assembly - learn.sparkfun.com";"6,293";"5,553";"00:02:26";"69.23%";"62.75%"
"/serial-graphic-lcd-hookup/";"Serial Graphic LCD Hookup - learn.sparkfun.com";"6,046";"4,195";"00:03:48";"66.76%";"22.44%"
"/tags/";"Internet of Things | Tutorials - learn.sparkfun.com";"6,046";"5,429";"00:02:33";"68.56%";"61.23%"
"/digital-logic/";"Digital Logic - learn.sparkfun.com";"5,676";"5,059";"00:02:34";"91.99%";"58.70%"
"/using-github-to-share-with-sparkfun/";"Using GitHub to Share with SparkFun - learn.sparkfun.com";"5,676";"5,429";"00:04:34";"84.22%";"80.43%"
"/sparkfun-inventors-kit-for-edison-experiment-guide/";"SparkFun Inventor's Kit for Edison Experiment Guide - learn.sparkfun.com";"5,553";"4,812";"00:02:19";"63.67%";"31.10%"
"/oled-display-hookup-guide/";"OLED Display Hookup Guide - learn.sparkfun.com";"5,429";"3,702";"00:00:45";"0.00%";"6.82%"
"/badgerhack/";"BadgerHack - learn.sparkfun.com";"5,306";"4,689";"00:01:10";"50.05%";"34.89%"
"/hexadecimal/";"Hexadecimal - learn.sparkfun.com";"5,306";"4,319";"00:04:44";"88.88%";"58.14%"
"/battery-technologies/";"Battery Technologies - learn.sparkfun.com";"5,182";"4,936";"00:01:10";"84.38%";"78.58%"
"/let-it-glow-holiday-cards/";"Let It Glow Holiday Cards - learn.sparkfun.com";"5,059";"2,468";"00:01:02";"50.00%";"9.76%"
"/loading-debian-ubilinux-on-the-edison/";"Discuss Tutorial: Loading Debian (Ubilinux) on the Edison - learn.sparkfun.com";"4,936";"3,949";"00:05:56";"84.22%";"62.50%"
"/mp3-player-shield-hookup/";"MP3 Player Shield Hookup - learn.sparkfun.com";"4,936";"3,085";"00:04:37";"39.98%";"32.50%"
"/getting-started-with-the-redbot/";"Getting Started with the RedBot - learn.sparkfun.com";"4,812";"3,949";"00:00:56";"61.53%";"33.33%"
"/tags/";"E-Textiles | Tutorials - learn.sparkfun.com";"4,812";"3,702";"00:01:08";"57.16%";"35.89%"
"/tsl2561-luminosity-sensor-hookup-guide/";"TSL2561 Luminosity Sensor Hookup Guide - learn.sparkfun.com";"4,812";"4,195";"00:03:34";"85.70%";"66.67%"
"/light/";"Light - learn.sparkfun.com";"4,689";"3,825";"00:03:11";"71.99%";"63.15%"
"/arduino-comparison-guide/";"Arduino Comparison Guide - learn.sparkfun.com";"4,565";"3,949";"00:02:24";"67.84%";"59.47%"
"/led-light-bar-hookup/";"LED Light Bar Hookup - learn.sparkfun.com";"4,565";"4,319";"00:02:06";"73.07%";"62.17%"
"/tags/";"LilyPad | Tutorials - learn.sparkfun.com";"4,565";"3,455";"00:01:09";"44.44%";"35.14%"
"/pcduino-hookup-guide/";"pcDuino Hookup Guide - learn.sparkfun.com";"4,442";"3,825";"00:02:13";"66.68%";"63.89%"
"/light-emitting-diodes-leds/";"Light-emitting Diodes (LEDs) - learn.sparkfun.com";"4,319";"2,591";"00:01:58";"50.05%";"22.85%"
"/blynk-board-project-guide/";"Blynk Board Project Guide - learn.sparkfun.com";"4,072";"3,825";"00:01:26";"100.00%";"21.22%"
"/rn-52-bluetooth-hookup-guide/";"RN-52 Bluetooth Hookup Guide - learn.sparkfun.com";"3,825";"3,208";"00:01:45";"37.49%";"29.05%"
"/tags/";"Single Board Computer | Tutorials - learn.sparkfun.com";"3,825";"3,455";"00:02:48";"81.26%";"48.39%"
"/make-your-own-fritzing-parts/";"Make Your Own Fritzing Parts - learn.sparkfun.com";"3,702";"3,208";"00:05:03";"75.00%";"63.32%"
"/tags/";"Components | Tutorials - learn.sparkfun.com";"3,702";"3,085";"00:00:56";"9.97%";"16.67%"
"/photon-oled-shield-hookup-guide/";"Photon OLED Shield Hookup Guide - learn.sparkfun.com";"3,332";"1,974";"00:02:08";"19.94%";"14.83%"
"/weather-station-wirelessly-connected-to-wunderground/";"Weather Station Wirelessly Connected to Wunderground - learn.sparkfun.com";"3,332";"2,838";"00:02:43";"70.59%";"59.24%"
"/light-up-fathers-day-card/";"Light-Up Father's Day Card - learn.sparkfun.com";"3,208";"2,221";"00:00:39";"76.45%";"53.83%"
"/wifly-shield-hookup-guide/";"WiFly Shield Hookup Guide - learn.sparkfun.com";"3,208";"2,591";"00:05:08";"60.02%";"57.70%"
"/edison-getting-started-guide/";"Edison Getting Started Guide - learn.sparkfun.com";"3,085";"1,974";"00:01:04";"50.00%";"11.99%"
"/htu21d-humidity-sensor-hookup-guide/";"HTU21D Humidity Sensor Hookup Guide - learn.sparkfun.com";"3,085";"2,344";"00:02:18";"50.03%";"36.01%"
"/how-to-power-a-project/";"How to Power a Project - learn.sparkfun.com";"2,838";"2,715";"00:01:18";"83.32%";"52.18%"
"/tags/";"Sensors | Tutorials - learn.sparkfun.com";"2,838";"2,468";"00:00:50";"66.76%";"17.41%"
"/wireless-arduino-programming-with-electric-imp/";"Wireless Arduino Programming with Electric Imp - learn.sparkfun.com";"2,838";"2,591";"00:03:03";"88.23%";"82.59%"
"/how-to-sell-your-widget-on-sparkfun/";"How to Sell Your Widget on SparkFun - learn.sparkfun.com";"2,715";"1,851";"00:02:57";"0.00%";"18.20%"
"/redboard-vs-uno/";"RedBoard vs. Uno - learn.sparkfun.com";"2,715";"2,468";"00:00:16";"78.58%";"72.71%"
"/sound-detector-hookup-guide/";"Sound Detector Hookup Guide - learn.sparkfun.com";"2,715";"2,344";"00:01:35";"66.76%";"40.92%"
"/";"Tutorials - learn.sparkfun.com";"2,591";"2,344";"00:01:28";"33.36%";"38.09%"
"/elastolite-hookup-guide/";"ELastoLite Hookup Guide - learn.sparkfun.com";"2,591";"1,851";"00:03:55";"0.00%";"19.07%"
"/how-leds-are-made/";"How LEDs are Made - learn.sparkfun.com";"2,591";"2,344";"00:00:52";"88.88%";"90.47%"
"/understanding-the-bc127-bluetooth-module/";"Understanding the BC127 Bluetooth Module - learn.sparkfun.com";"2,591";"2,468";"00:04:14";"61.53%";"52.37%"
"/using-the-logic-level-converter/";"Using the Logic Level Converter - learn.sparkfun.com";"2,591";"1,974";"00:00:59";"61.53%";"52.37%"
"/vernier-shield-hookup-guide/";"Vernier Shield Hookup Guide - learn.sparkfun.com";"2,591";"2,098";"00:00:33";"83.32%";"57.16%"
"/galileo-unread-email-counter/";"Galileo Unread Email Counter - learn.sparkfun.com";"2,468";"2,098";"00:02:19";"73.31%";"69.98%"
"/dotbar-display-driver-hookup-guide/";"Dot/Bar Display Driver Hookup Guide - learn.sparkfun.com";"2,344";"1,974";"00:02:40";"71.41%";"52.65%"
"/leap-motion-teardown/";"Leap Motion Teardown - learn.sparkfun.com";"2,344";"1,727";"00:01:03";"19.94%";"31.57%"
"/light-up-valentine-cards/";"Light-Up Valentine Cards - learn.sparkfun.com";"2,344";"1,357";"00:00:21";"33.24%";"15.78%"
"/redbot-assembly-guide/";"RedBot Assembly Guide - learn.sparkfun.com";"2,344";"2,344";"00:01:26";"33.24%";"15.78%"
"/tags/";"XBee | Tutorials - learn.sparkfun.com";"2,344";"1,727";"00:02:33";"0.00%";"5.25%"
"/cryptocape-hookup-guide/";"CryptoCape Hookup Guide - learn.sparkfun.com";"2,221";"1,234";"00:02:21";"50.05%";"33.32%"
"/ardumoto-shield-hookup-guide/";"Ardumoto Shield Hookup Guide - learn.sparkfun.com";"2,098";"1,851";"00:04:20";"70.02%";"58.82%"
"/makey-makey-advanced-guide/";"MaKey MaKey Advanced Guide - learn.sparkfun.com";"2,098";"1,974";"00:04:36";"63.67%";"58.82%"
"/micro-oled-breakout-hookup-guide/";"Micro OLED Breakout Hookup Guide - learn.sparkfun.com";"2,098";"1,604";"00:01:44";"66.61%";"47.04%"
"/cc3000-hookup-guide/";"Discuss Tutorial: CC3000 Hookup Guide - learn.sparkfun.com";"1,974";"1,851";"00:04:12";"66.61%";"62.51%"
"/loading-debian-ubilinux-on-the-edison/";"Loading Debian (Ubilinux) on the Edison - learn.sparkfun.com";"1,851";"1,604";"00:05:02";"59.97%";"39.98%"
"/tags/";"WiFi | Tutorials - learn.sparkfun.com";"1,851";"1,357";"00:00:49";"66.76%";"19.99%"
"/voltage-current-resistance-and-ohms-law/";"Discuss Tutorial: Voltage, Current, Resistance, and Ohm's Law - learn.sparkfun.com";"1,851";"1,481";"00:02:50";"50.00%";"33.33%"
"/motors-and-selecting-the-right-one/";"Motors and Selecting the Right One - learn.sparkfun.com";"1,727";"1,357";"00:09:27";"59.97%";"64.33%"
"/myst-linking-book/";"MYST Linking Book - learn.sparkfun.com";"1,727";"1,357";"00:07:23";"55.54%";"50.03%"
"/rotary-switch-potentiometer-hookup-guide/";"Rotary Switch Potentiometer Hookup Guide - learn.sparkfun.com";"1,727";"1,604";"00:00:19";"88.84%";"57.15%"
"/shapeoko-coaster-project/";"Shapeoko Coaster Project - learn.sparkfun.com";"1,727";"1,111";"00:02:38";"0.00%";"14.30%"
"/easy-driver-hook-up-guide/";"Discuss Tutorial: Easy Driver Hook-up Guide - learn.sparkfun.com";"1,604";370;"00:00:32";"0.00%";"23.07%"
"/hmc6343-3-axis-compass-hookup-guide/";"HMC6343 3-axis Compass Hookup Guide - learn.sparkfun.com";"1,604";987;"00:02:31";"0.00%";"15.40%"
"/installing-a-bootloader-on-the-microview/";"Installing a Bootloader on the MicroView - learn.sparkfun.com";"1,604";"1,481";"00:00:30";"57.18%";"46.13%"
"/load-cell-amplifier-hx711-breakout-hookup-guide/";"Discuss Tutorial: Load Cell Amplifier HX711 Breakout Hookup Guide - learn.sparkfun.com";"1,604";"1,357";"00:01:42";"55.54%";"53.87%"
